# Genesis 13 — morphology, one word per line.
#
# This is the project's own grammatical analysis of each form, written alongside the
# transcription and not copied from any digital edition.
#
# Columns: verse, part of speech, parse, form, lemma — in MorphGNT's code scheme, so
# the Old and New Testament layers read alike. The parse is eight places: person,
# tense, voice, mood, case, number, gender, degree ("-" where it does not apply).
#
# Two codes go beyond MorphGNT, both to record only what the form itself says:
#   voice  E  middle/passive — a tense in which the two share one form
#   gender C  masculine/feminine — an adjective whose form does not distinguish them
#
# A trailing annotation records a deliberate difference and the reason for it:
#   "# module …"  from the reference module, checked when LXX_RAHLFS_DIR is set
#   "# corpus …"  from this project's own analysis of the same form elsewhere
# A line may carry both. validate.py prints them as notes instead of failures — and
# fails if the difference a note claims is not there, so they cannot go stale. The
# analysis here is this project's own: the module is a reference, not an authority,
# and the corpus is held to itself.
#
# Indeclinables take case and number from the syntax, as MorphGNT does, and gender
# where there is one to take: a personal name, from the person; a numeral agreeing
# with its noun; a common noun whose article shows it — but not an indeclinable place
# name, which has none. A personal name the New Testament also uses takes MorphGNT's
# dictionary form (Νῶε, Σήμ); every other Semitic name (Χαμ, Ιαφεθ), the form Rahlfs
# prints.
13:1 V- 3AAI-S-- Ἀνέβη ἀναβαίνω
13:1 C- -------- δὲ δέ
13:1 N- ----NSM- Αβραμ Αβραμ
13:1 P- -------- ἐξ ἐκ
13:1 N- ----GSF- Αἰγύπτου Αἴγυπτος
13:1 RP ----NSM- αὐτὸς αὐτός
13:1 C- -------- καὶ καί
13:1 RA ----NSF- ἡ ὁ
13:1 N- ----NSF- γυνὴ γυνή
13:1 RP ----GSM- αὐτοῦ αὐτός
13:1 C- -------- καὶ καί
13:1 A- ----NPN- πάντα πᾶς
13:1 RA ----NPN- τὰ ὁ
13:1 RP ----GSM- αὐτοῦ αὐτός
13:1 C- -------- καὶ καί
13:1 N- ----NSM- Λωτ Λώτ
13:1 P- -------- μετʼ μετά
13:1 RP ----GSM- αὐτοῦ αὐτός
13:1 P- -------- εἰς εἰς
13:1 RA ----ASF- τὴν ὁ
13:1 A- ----ASF- ἔρημον ἔρημος
13:2 N- ----NSM- Αβραμ Αβραμ
13:2 C- -------- δὲ δέ
13:2 V- 3IAI-S-- ἦν εἰμί
13:2 A- ----NSM- πλούσιος πλούσιος
13:2 D- -------- σφόδρα σφόδρα
13:2 N- ----DPN- κτήνεσιν κτῆνος
13:2 C- -------- καὶ καί
13:2 N- ----DSN- ἀργυρίῳ ἀργύριον
13:2 C- -------- καὶ καί
13:2 N- ----DSN- χρυσίῳ χρυσίον
13:3 C- -------- καὶ καί
13:3 V- 3API-S-- ἐπορεύθη πορεύομαι
13:3 D- -------- ὅθεν ὅθεν
13:3 V- 3AAI-S-- ἦλθεν ἔρχομαι
13:3 P- -------- εἰς εἰς
13:3 RA ----ASF- τὴν ὁ
13:3 A- ----ASF- ἔρημον ἔρημος
13:3 P- -------- ἕως ἕως
13:3 N- ----GS-- Βαιθηλ Βαιθηλ
13:3 P- -------- ἕως ἕως
13:3 RA ----GSM- τοῦ ὁ
13:3 N- ----GSM- τόπου τόπος
13:3 D- -------- οὗ οὗ
13:3 V- 3IAI-S-- ἦν εἰμί
13:3 RA ----NSF- ἡ ὁ
13:3 N- ----NSF- σκηνὴ σκηνή
13:3 RP ----GSM- αὐτοῦ αὐτός
13:3 RA ----ASN- τὸ ὁ
13:3 A- ----ASNC πρότερον πρότερος  # module lemma πρότερον — πρότερος, the comparative, as MorphGNT files τὸ πρότερον
13:3 P- -------- ἀνὰ ἀνά
13:3 A- ----ASN- μέσον μέσος  # module ASM — with a genitive after it, the neuter used as a noun, as MorphGNT codes ἀνὰ μέσον
13:3 N- ----GS-- Βαιθηλ Βαιθηλ
13:3 C- -------- καὶ καί
13:3 P- -------- ἀνὰ ἀνά
13:3 A- ----ASN- μέσον μέσος  # module ASM — with a genitive after it, the neuter used as a noun, as MorphGNT codes ἀνὰ μέσον
13:3 N- ----GS-- Αγγαι Αγγαι
13:4 P- -------- εἰς εἰς
13:4 RA ----ASM- τὸν ὁ
13:4 N- ----ASM- τόπον τόπος
13:4 RA ----GSN- τοῦ ὁ
13:4 N- ----GSN- θυσιαστηρίου θυσιαστήριον
13:4 D- -------- οὗ οὗ
13:4 V- 3AAI-S-- ἐποίησεν ποιέω
13:4 D- -------- ἐκεῖ ἐκεῖ
13:4 RA ----ASF- τὴν ὁ
13:4 N- ----ASF- ἀρχήν ἀρχή
13:4 C- -------- καὶ καί
13:4 V- 3AMI-S-- ἐπεκαλέσατο ἐπικαλέω
13:4 D- -------- ἐκεῖ ἐκεῖ
