# Genesis 5 — morphology, one word per line.
#
# This is the project's own grammatical analysis of each form, written alongside the
# transcription and not copied from any digital edition.
#
# Columns: verse, part of speech, parse, form, lemma — in MorphGNT's code scheme, so
# the Old and New Testament layers read alike. The parse is eight places: person,
# tense, voice, mood, case, number, gender, degree ("-" where it does not apply).
#
# Two codes go beyond MorphGNT, both to record only what the form itself says:
#   voice  E  middle/passive — a tense in which the two share one form
#   gender C  masculine/feminine — an adjective whose form does not distinguish them
#
# A trailing annotation records a deliberate difference and the reason for it:
#   "# module …"  from the reference module, checked when LXX_RAHLFS_DIR is set
#   "# corpus …"  from this project's own analysis of the same form elsewhere
# A line may carry both. validate.py prints them as notes instead of failures — and
# fails if the difference a note claims is not there, so they cannot go stale. The
# analysis here is this project's own: the module is a reference, not an authority,
# and the corpus is held to itself.
#
# Indeclinables take case and number from the syntax, as MorphGNT does, and gender
# where there is one to take: a personal name, from the person; a numeral agreeing
# with its noun; a common noun whose article shows it — but not an indeclinable place
# name, which has none. A personal name the New Testament also uses takes MorphGNT's
# dictionary form (Μαλελεήλ, Νῶε); one the New Testament spells with other letters
# (Luke 3:37 Καϊνάμ, Ἰάρετ) and every other Semitic name, the form Rahlfs prints.
5:1 RD ----NSF- Αὕτη οὗτος
5:1 RA ----NSF- ἡ ὁ
5:1 N- ----NSF- βίβλος βίβλος
5:1 N- ----GSF- γενέσεως γένεσις
5:1 N- ----GPM- ἀνθρώπων ἄνθρωπος
5:1 RR ----DSF- ᾗ ὅς
5:1 N- ----DSF- ἡμέρᾳ ἡμέρα
5:1 V- 3AAI-S-- ἐποίησεν ποιέω
5:1 RA ----NSM- ὁ ὁ
5:1 N- ----NSM- θεὸς θεός
5:1 RA ----ASM- τὸν ὁ
5:1 N- ----ASM- Αδαμ Ἀδάμ
5:1 P- -------- κατʼ κατά
5:1 N- ----ASF- εἰκόνα εἰκών
5:1 N- ----GSM- θεοῦ θεός
5:1 V- 3AAI-S-- ἐποίησεν ποιέω
5:1 RP ----ASM- αὐτόν αὐτός
5:2 A- ----ASN- ἄρσεν ἄρσην
5:2 C- -------- καὶ καί
5:2 A- ----ASN- θῆλυ θῆλυς
5:2 V- 3AAI-S-- ἐποίησεν ποιέω
5:2 RP ----APM- αὐτοὺς αὐτός
5:2 C- -------- καὶ καί
5:2 V- 3AAI-S-- εὐλόγησεν εὐλογέω
5:2 RP ----APM- αὐτούς αὐτός
5:2 C- -------- καὶ καί
5:2 V- 3AAI-S-- ἐπωνόμασεν ἐπονομάζω
5:2 RA ----ASN- τὸ ὁ
5:2 N- ----ASN- ὄνομα ὄνομα
5:2 RP ----GPM- αὐτῶν αὐτός
5:2 N- ----ASM- Αδαμ Ἀδάμ
5:2 RR ----DSF- ᾗ ὅς
5:2 N- ----DSF- ἡμέρᾳ ἡμέρα
5:2 V- 3AAI-S-- ἐποίησεν ποιέω
5:2 RP ----APM- αὐτούς αὐτός
5:3 V- 3AAI-S-- ἔζησεν ζάω
5:3 C- -------- δὲ δέ
5:3 N- ----NSM- Αδαμ Ἀδάμ
5:3 A- ----APN- διακόσια διακόσιοι
5:3 C- -------- καὶ καί
5:3 A- ----APN- τριάκοντα τριάκοντα  # module M, no features — MorphGNT gives τριάκοντα case, number and gender like any adjective
5:3 N- ----APN- ἔτη ἔτος
5:3 C- -------- καὶ καί
5:3 V- 3AAI-S-- ἐγέννησεν γεννάω
5:3 P- -------- κατὰ κατά
5:3 RA ----ASF- τὴν ὁ
5:3 N- ----ASF- ἰδέαν ἰδέα
5:3 RP ----GSM- αὐτοῦ αὐτός
5:3 C- -------- καὶ καί
5:3 P- -------- κατὰ κατά
5:3 RA ----ASF- τὴν ὁ
5:3 N- ----ASF- εἰκόνα εἰκών
